beta0 beta1 loggap
-0.55 1.45 -0.8479959436
-0.55 1.5 -0.838467532
-0.55 1.55 -0.8250782043
-0.55 1.6 -0.8084879899
-0.55 1.65 -0.7893346665
-0.55 1.7 -0.7682042514
-0.55 1.75 -0.7456142206
-0.55 1.8 -0.722007104
-0.55 1.85 -0.6977514631
-0.55 1.9 -0.6731474481
-0.55 1.95 -0.6484347084
-0.55 2 -0.6238010958
-0.49375 -2 0.6817228753
-0.49375 -1.95 0.6710023697
-0.49375 -1.9 0.6600505646
-0.49375 -1.85 0.6488600755
-0.49375 -1.8 0.6374234978
-0.49375 -1.75 0.625733477
-0.49375 -1.7 0.6137827977
-0.49375 -1.65 0.6015644935
-0.49375 -1.6 0.5890719819
-0.49375 -1.55 0.5762992277
-0.49375 -1.5 0.56324094
-0.49375 -1.45 0.5498928049
-0.49375 -1.4 0.5362517589
-0.49375 -1.35 0.5223163042
-0.49375 -1.3 0.5080868644
-0.49375 -1.25 0.4935661771
-0.49375 -1.2 0.4787597123
-0.49375 -1.15 0.463676096
-0.49375 -1.1 0.4483275056
-0.49375 -1.05 0.4327299874
-0.49375 -1 0.4169036224
-0.49375 -0.95 0.4008724414
-0.49375 -0.9 0.3846639604
-0.49375 -0.85 0.3683081875
-0.49375 -0.8 0.3518359394
-0.49375 -0.75 0.3352763344
-0.49375 -0.7 0.3186534005
-0.49375 -0.65 0.3019818932
-0.49375 -0.6 0.2852626405
-0.49375 -0.55 0.2684780049
-0.49375 -0.5 0.2515882697
-0.49375 -0.45 0.234529765
-0.49375 -0.4 0.2172152083
-0.49375 -0.35 0.199536038
-0.49375 -0.3 0.1813657541
-0.49375 -0.25 0.1625629661
-0.49375 -0.2 0.142973419
-0.49375 -0.15 0.1224315919
-0.49375 -0.1 0.1007636831
-0.49375 -0.05 0.07779382415
-0.49375 0 0.05335374369
-0.49375 0.05 0.0272936488
-0.49375 0.1 -0.0005094512679
-0.49375 0.15 -0.03014895233
-0.49375 0.2 -0.06169143754
-0.49375 0.25 -0.09518190694
-0.49375 0.3 -0.1306470326
-0.49375 0.35 -0.1680933471
-0.49375 0.4 -0.2075001941
-0.49375 0.45 -0.2488098667
-0.49375 0.5 -0.2919181787
-0.49375 0.55 -0.3366676505
-0.49375 0.6 -0.3828435452
-0.49375 0.65 -0.4301714379
-0.49375 0.7 -0.4783144937
-0.49375 0.75 -0.5268691371
-0.49375 0.8 -0.5753589158
-0.49375 0.85 -0.6232277256
-0.49375 0.9 -0.6698349506
-0.49375 0.95 -0.7144563588
-0.49375 1 -0.7562954965
-0.49375 1.05 -0.7945103319
-0.49375 1.1 -0.8282582629
-0.49375 1.15 -0.856758715
-0.49375 1.2 -0.8793666477
-0.49375 1.25 -0.895644082
-0.49375 1.3 -0.9054133178
-0.49375 1.35 -0.9087776682
-0.49375 1.4 -0.9061036414
-0.49375 1.45 -0.8979693749
-0.49375 1.5 -0.8850928059
-0.49375 1.55 -0.8682560044
-0.49375 1.6 -0.8482392399
-0.49375 1.65 -0.8257723509
-0.49375 1.7 -0.8015049839
-0.49375 1.75 -0.7759931851
-0.49375 1.8 -0.7496980233
-0.49375 1.85 -0.7229918302
-0.49375 1.9 -0.6961684389
-0.49375 1.95 -0.6694548628
-0.49375 2 -0.643022817
-0.4375 -2 0.6740799212
