alpha beta logL
-1.208333333 -0.875 0.9181733358
-1.166666667 -0.875 0.9188049705
-1.125 -0.875 0.9197612321
-1.083333333 -0.875 0.9210027607
-1.041666667 -0.875 0.9224920255
-1 -0.875 0.9241934475
-0.9583333333 -0.875 0.9260734793
-0.9166666667 -0.875 0.9281006445
-0.875 -0.875 0.930245545
-0.8333333333 -0.875 0.9324808406
-0.7916666667 -0.875 0.9347812061
-0.75 -0.875 0.9371232715
-0.7083333333 -0.875 0.9394855476
-0.6666666667 -0.875 0.9418483436
-0.625 -0.875 0.9441936774
-0.5833333333 -0.875 0.946505182
-0.5416666667 -0.875 0.9487680115
-0.5 -0.875 0.9509687466
-0.4583333333 -0.875 0.9530953022
-0.4166666667 -0.875 0.9551368384
-0.375 -0.875 0.9570836755
-0.3333333333 -0.875 0.9589272129
-0.2916666667 -0.875 0.9606598543
-0.25 -0.875 0.9622749369
-0.2083333333 -0.875 0.9637666681
-0.1666666667 -0.875 0.9651300661
-0.125 -0.875 0.9663609073
-0.08333333333 -0.875 0.9674556799
-0.04166666667 -0.875 0.9684115416
0 -0.875 0.9692262852
0.04166666667 -0.875 0.9698983075
0.08333333333 -0.875 0.9704265854
0.125 -0.875 0.9708106564
0.1666666667 -0.875 0.9710506043
0.2083333333 -0.875 0.9711470509
0.25 -0.875 0.9711011519
0.2916666667 -0.875 0.9709145979
0.3333333333 -0.875 0.9705896212
0.375 -0.875 0.9701290061
0.4166666667 -0.875 0.9695361057
0.4583333333 -0.875 0.9688148619
0.5 -0.875 0.9679698314
0.5416666667 -0.875 0.9670062156
0.5833333333 -0.875 0.9659298962
0.625 -0.875 0.9647474738
0.6666666667 -0.875 0.9634663128
0.7083333333 -0.875 0.9620945891
0.75 -0.875 0.9606413424
0.7916666667 -0.875 0.9591165329
0.8333333333 -0.875 0.9575311
0.875 -0.875 0.9558970252
0.9166666667 -0.875 0.9542273962
0.9583333333 -0.875 0.9525364727
1 -0.875 0.9508397529
1.041666667 -0.875 0.949154038
1.083333333 -0.875 0.947497496
1.125 -0.875 0.9458897196
1.166666667 -0.875 0.9443517792
1.208333333 -0.875 0.9429062667
1.25 -0.875 0.9415773288
-1.25 -0.8333333333 0.8807970986
-1.208333333 -0.8333333333 0.8806119897
-1.166666667 -0.8333333333 0.8808297759
-1.125 -0.8333333333 0.8814077279
-1.083333333 -0.8333333333 0.8823046305
-1.041666667 -0.8333333333 0.8834810036
-1 -0.8333333333 0.8848992679
-0.9583333333 -0.8333333333 0.8865238603
-0.9166666667 -0.8333333333 0.8883213047
-0.875 -0.8333333333 0.8902602442
-0.8333333333 -0.8333333333 0.8923114413
-0.7916666667 -0.8333333333 0.8944477511
-0.75 -0.8333333333 0.8966440718
-0.7083333333 -0.8333333333 0.8988772801
-0.6666666667 -0.8333333333 0.9011261531
-0.625 -0.8333333333 0.903371281
-0.5833333333 -0.8333333333 0.9055949749
-0.5416666667 -0.8333333333 0.907781171
-0.5 -0.8333333333 0.9099153347
-0.4583333333 -0.8333333333 0.9119843643
-0.4166666667 -0.8333333333 0.9139764992
-0.375 -0.8333333333 0.9158812293
-0.3333333333 -0.8333333333 0.917689211
-0.2916666667 -0.8333333333 0.9193921867
-0.25 -0.8333333333 0.9209829105
-0.2083333333 -0.8333333333 0.9224550795
-0.1666666667 -0.8333333333 0.9238032713
-0.125 -0.8333333333 0.9250228872
-0.08333333333 -0.8333333333 0.9261101018
-0.04166666667 -0.8333333333 0.9270618187
0 -0.8333333333 0.927875632
0.04166666667 -0.8333333333 0.9285497937
0.08333333333 -0.8333333333 0.9290831873
0.125 -0.8333333333 0.929475307
0.1666666667 -0.8333333333 0.9297262419
0.2083333333 -0.8333333333 0.9298366671
0.25 -0.8333333333 0.9298078388
0.2916666667 -0.8333333333 0.9296415956
0.3333333333 -0.8333333333 0.9293403652
0.375 -0.8333333333 0.9289071757
0.4166666667 -0.8333333333 0.9283456728
0.4583333333 -0.8333333333 0.9276601416
0.5 -0.8333333333 0.9268555337
0.5416666667 -0.8333333333 0.9259374996
0.5833333333 -0.8333333333 0.9249124249
0.625 -0.8333333333 0.9237874728
0.6666666667 -0.8333333333 0.9225706299
0.7083333333 -0.8333333333 0.9212707571
0.75 -0.8333333333 0.9198976439
0.7916666667 -0.8333333333 0.9184620672
0.8333333333 -0.8333333333 0.9169758521
0.875 -0.8333333333 0.9154519364
0.9166666667 -0.8333333333 0.9139044356
0.9583333333 -0.8333333333 0.9123487093
1 -0.8333333333 0.9108014267
1.041666667 -0.8333333333 0.9092806302
1.083333333 -0.8333333333 0.907805795
1.125 -0.8333333333 0.906397883
1.166666667 -0.8333333333 0.9050793887
1.208333333 -0.8333333333 0.9038743741
1.25 -0.8333333333 0.90280849
-1.25 -0.7916666667 0.8421606365
-1.208333333 -0.7916666667 0.8414580504
-1.166666667 -0.7916666667 0.8411998473
-1.125 -0.7916666667 0.8413416093
-1.083333333 -0.7916666667 0.8418402326
-1.041666667 -0.7916666667 0.8426542059
-1 -0.7916666667 0.8437438267
-0.9583333333 -0.7916666667 0.8450713613
-0.9166666667 -0.7916666667 0.8466011547
-0.875 -0.7916666667 0.8482996952
-0.8333333333 -0.7916666667 0.8501356408
-0.7916666667 -0.7916666667 0.8520798133
-0.75 -0.7916666667 0.8541051658
-0.7083333333 -0.7916666667 0.8561867294
-0.6666666667 -0.7916666667 0.8583015427
-0.625 -0.7916666667 0.8604285705
-0.5833333333 -0.7916666667 0.8625486133
-0.5416666667 -0.7916666667 0.8646442121
-0.5 -0.7916666667 0.8666995506
-0.4583333333 -0.7916666667 0.8687003569
-0.4166666667 -0.7916666667 0.8706338076
-0.375 -0.7916666667 0.8724884336
-0.3333333333 -0.7916666667 0.8742540308
-0.2916666667 -0.7916666667 0.8759215752
-0.25 -0.7916666667 0.877483144
-0.2083333333 -0.7916666667 0.8789318416
-0.1666666667 -0.7916666667 0.8802617331
-0.125 -0.7916666667 0.8814677828
-0.08333333333 -0.7916666667 0.8825458002
-0.04166666667 -0.7916666667 0.8834923917
0 -0.7916666667 0.8843049196
0.04166666667 -0.7916666667 0.8849814661
0.08333333333 -0.7916666667 0.885520805
0.125 -0.7916666667 0.8859223785
0.1666666667 -0.7916666667 0.886186281
0.2083333333 -0.7916666667 0.8863132477
0.25 -0.7916666667 0.8863046505
0.2916666667 -0.7916666667 0.8861624986
0.3333333333 -0.7916666667 0.8858894451
0.375 -0.7916666667 0.8854887997
0.4166666667 -0.7916666667 0.884964546
0.4583333333 -0.7916666667 0.8843213656
0.5 -0.7916666667 0.883564666
0.5416666667 -0.7916666667 0.8827006151
0.5833333333 -0.7916666667 0.8817361802
0.625 -0.7916666667 0.8806791716
0.6666666667 -0.7916666667 0.8795382918
0.7083333333 -0.7916666667 0.878323188
0.75 -0.7916666667 0.8770445092
0.7916666667 -0.7916666667 0.8757139665
0.8333333333 -0.7916666667 0.8743443962
0.875 -0.7916666667 0.8729498246
0.9166666667 -0.7916666667 0.8715455344
0.9583333333 -0.7916666667 0.8701481294
1 -0.7916666667 0.8687755995
1.041666667 -0.7916666667 0.8674473797
1.083333333 -0.7916666667 0.8661844059
1.125 -0.7916666667 0.8650091611
1.166666667 -0.7916666667 0.8639457119
1.208333333 -0.7916666667 0.8630197311
1.25 -0.7916666667 0.8622585036
-1.25 -0.75 0.8019043864
-1.208333333 -0.75 0.8006059778
-1.166666667 -0.75 0.799798127
