alpha beta logL
-1 -0.875 1.718735116
-0.9583333333 -0.875 1.718751846
-0.9166666667 -0.875 1.718771907
-0.875 -0.875 1.718794476
-0.8333333333 -0.875 1.718818829
-0.7916666667 -0.875 1.718844334
-0.75 -0.875 1.718870443
-0.7083333333 -0.875 1.718896684
-0.6666666667 -0.875 1.718922655
-0.625 -0.875 1.718948014
-0.5833333333 -0.875 1.718972478
-0.5416666667 -0.875 1.718995809
-0.5 -0.875 1.719017816
-0.4583333333 -0.875 1.719038347
-0.4166666667 -0.875 1.719057281
-0.375 -0.875 1.719074527
-0.3333333333 -0.875 1.719090018
-0.2916666667 -0.875 1.71910371
-0.25 -0.875 1.719115572
-0.2083333333 -0.875 1.71912559
-0.1666666667 -0.875 1.71913376
-0.125 -0.875 1.719140087
-0.08333333333 -0.875 1.719144583
-0.04166666667 -0.875 1.719147264
0 -0.875 1.719148151
0.04166666667 -0.875 1.719147266
0.08333333333 -0.875 1.719144636
0.125 -0.875 1.719140286
0.1666666667 -0.875 1.719134247
0.2083333333 -0.875 1.71912655
0.25 -0.875 1.71911723
0.2916666667 -0.875 1.719106327
0.3333333333 -0.875 1.719093889
0.375 -0.875 1.719079969
0.4166666667 -0.875 1.719064634
0.4583333333 -0.875 1.719047963
0.5 -0.875 1.71903005
0.5416666667 -0.875 1.719011012
0.5833333333 -0.875 1.718990988
0.625 -0.875 1.718970146
0.6666666667 -0.875 1.718948686
0.7083333333 -0.875 1.718926846
0.75 -0.875 1.718904906
0.7916666667 -0.875 1.718883196
0.8333333333 -0.875 1.7188621
0.875 -0.875 1.718842062
0.9166666667 -0.875 1.718823596
0.9583333333 -0.875 1.718807288
1 -0.875 1.71879381
1.041666667 -0.875 1.718783921
1.083333333 -0.875 1.71877848
1.125 -0.875 1.718778454
1.166666667 -0.875 1.718784924
1.208333333 -0.875 1.718799097
1.25 -0.875 1.718822315
-1.25 -0.8333333333 1.682881351
-1.208333333 -0.8333333333 1.682847598
-1.166666667 -0.8333333333 1.682825698
-1.125 -0.8333333333 1.68281391
-1.083333333 -0.8333333333 1.68281066
-1.041666667 -0.8333333333 1.682814534
-1 -0.8333333333 1.682824264
-0.9583333333 -0.8333333333 1.682838721
-0.9166666667 -0.8333333333 1.682856901
-0.875 -0.8333333333 1.682877918
-0.8333333333 -0.8333333333 1.682900996
-0.7916666667 -0.8333333333 1.682925453
-0.75 -0.8333333333 1.682950703
-0.7083333333 -0.8333333333 1.682976239
-0.6666666667 -0.8333333333 1.683001629
-0.625 -0.8333333333 1.683026508
-0.5833333333 -0.8333333333 1.683050571
-0.5416666667 -0.8333333333 1.683073566
